@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric

@data
17,'2018/05/10 09:46:53:131',1,-4.883392,409.836792,-13.568581,38.929688,397.108887,15.634838,117.674744,400.583801,22.215643,206.808762,394.417603,21.818008,288.694824,399.144897,15.480545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,'2018/05/10 09:46:53:181',1,-3.167542,406.278015,-14.366081,37.200287,396.102295,14.960423,115.52298,400.402344,21.683867,205.204422,394.361481,21.465763,287.218567,398.911072,15.254383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,'2018/05/10 09:46:53:231',1,2.9711,411.227539,-14.885658,35.391602,395.633362,14.381039,113.719635,399.408691,21.565987,203.709549,393.588593,21.589588,285.922058,399.697388,15.775169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,'2018/05/10 09:46:53:283',1,19.274078,417.26239,-14.753532,37.995392,396.522522,14.410027,115.385284,399.617493,22.310951,203.859985,393.042969,22.817099,288.370056,399.993317,17.64183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,'2018/05/10 09:46:53:331',1,11.457764,409.903412,-14.184929,35.580841,396.338043,15.10704,115.50824,400.961121,22.754875,204.61377,394.15918,23.052633,287.406494,399.730408,17.501709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,'2018/05/10 09:46:53:380',1,7.983887,409.002838,-14.507179,34.439545,396.067841,14.694256,115.905365,400.980927,22.274742,205.196274,394.205322,22.437099,287.344299,399.477295,16.732071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,'2018/05/10 09:46:53:431',1,-2.574524,406.239563,-13.821568,34.11438,396.487732,15.276184,118.214325,401.883057,22.362381,207.612732,394.950195,22.073593,287.719879,399.339478,15.873844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,'2018/05/10 09:46:53:481',1,-2.087494,406.341003,-13.783939,36.238861,397.210083,15.41729,118.592896,402.0578,22.345272,208.432648,395.305023,22.064226,288.828705,399.227142,15.820679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,'2018/05/10 09:47:06:964',2,-46.098419,401.168335,38.570194,-35.18866,400.523163,57.942532,58.90506,411.127655,64.466469,134.18396,408.906647,63.826897,212.262024,408.922424,57.534611,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,'2018/05/10 09:47:07:015',2,-44.943909,400.48996,37.242165,-32.007935,401.538391,57.448273,59.714874,410.949738,64.008141,135.213226,409.262604,63.49128,213.84436,409.583679,57.334435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
